RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName
98131,900,95351,zip,CA,CA,Modesto,"Modesto, CA",Stanislaus County
92667,901,78758,zip,TX,TX,Austin,"Austin-Round Rock-Georgetown, TX",Travis County
94915,902,85339,zip,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County
70056,903,28601,zip,NC,NC,Hickory,"Hickory-Lenoir-Morganton, NC",Catawba County
77918,904,46032,zip,IN,IN,Carmel,"Indianapolis-Carmel-Anderson, IN",Hamilton County
92343,905,78247,zip,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County
94753,906,85037,zip,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County
63414,907,14094,zip,NY,NY,Lockport,"Buffalo-Cheektowaga, NY",Niagara County
66666,908,20852,zip,MD,MD,Rockville,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County
95815,910,89119,zip,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County
96655,911,92113,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County
95999,912,90018,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
85990,915,63301,zip,MO,MO,Saint Charles,"St. Louis, MO-IL",Saint Charles County
84279,916,60010,zip,IL,IL,Barrington,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County
69768,917,28205,zip,NC,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County
72397,918,33068,zip,FL,FL,North Lauderdale,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County
90670,919,75074,zip,TX,TX,Plano,"Dallas-Fort Worth-Arlington, TX",Collin County
92303,920,78207,zip,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County
96597,921,92028,zip,CA,CA,Fallbrook,"San Diego-Chula Vista-Carlsbad, CA",San Diego County
70806,922,30019,zip,GA,GA,Dacula,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
69337,923,27407,zip,NC,NC,Greensboro,"Greensboro-High Point, NC",Guilford County
65815,924,19148,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County
67708,925,23434,zip,VA,VA,Suffolk,"Virginia Beach-Norfolk-Newport News, VA-NC",Suffolk City
99930,926,98632,zip,WA,WA,Longview,"Longview, WA",Cowlitz County
97783,926,94577,zip,CA,CA,San Leandro,"San Francisco-Oakland-Berkeley, CA",Alameda County
65132,928,17602,zip,PA,PA,Lancaster,"Lancaster, PA",Lancaster County
92617,929,78704,zip,TX,TX,Austin,"Austin-Round Rock-Georgetown, TX",Travis County
99667,930,98258,zip,WA,WA,Lake Stevens,"Seattle-Tacoma-Bellevue, WA",Snohomish County
96185,931,90630,zip,CA,CA,Cypress,"Los Angeles-Long Beach-Anaheim, CA",Orange County
96594,932,92025,zip,CA,CA,Escondido,"San Diego-Chula Vista-Carlsbad, CA",San Diego County
70532,933,29526,zip,SC,SC,Conway,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Horry County
96595,934,92026,zip,CA,CA,Escondido,"San Diego-Chula Vista-Carlsbad, CA",San Diego County
72582,935,33415,zip,FL,FL,West Palm Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County
